CT,Total,Aboriginal,North American ,European,Carribean,Latin,African,Oceania,Middle Eastern,South Asian,East Asian,Other Asian
0369.00,7590,35,820,2530,295,195,365,0,635,2800,1035,40
0370.01,10025,20,655,1390,675,285,590,0,1015,3805,2585,75
0370.02,4755,10,635,1180,200,155,210,0,190,1315,1410,0
0370.03,3780,75,695,1625,215,35,295,0,110,625,785,0
0371.00,6730,40,895,3530,170,260,125,0,535,630,1680,0
0372.00,4335,60,670,2285,135,70,35,0,225,830,920,20
0373.00,4605,60,635,2285,360,240,295,0,315,595,690,0
0374.01,4870,35,440,1585,105,80,170,15,465,695,1935,0
0374.02,3260,0,275,795,180,110,75,0,290,475,1365,0
0374.03,4250,20,375,955,155,140,60,0,315,690,2010,0
0375.01,6125,25,370,1950,305,105,430,0,930,715,2010,0
0375.02,1905,25,315,1200,85,45,40,0,55,175,435,0
0375.03,5410,80,405,1235,355,170,285,0,325,1395,1830,40
0375.04,5470,0,305,1085,235,40,175,0,60,1495,2590,0
0375.05,6975,30,575,2030,545,115,120,20,645,965,2655,0
0376.01,5280,15,410,915,160,70,235,105,225,1015,2605,0
0376.02,5275,50,260,375,295,65,145,0,80,1295,3065,0
0376.04,4955,0,250,855,165,115,295,0,450,345,2935,0
0376.05,7120,0,140,340,95,40,20,0,25,500,6185,0
0376.06,375,0,0,0,0,0,0,0,0,0,375,0
0376.08,6375,0,490,1120,385,55,130,0,365,1645,2905,0
0376.09,4865,0,150,575,145,0,80,0,135,280,3740,0
0376.11,3620,0,295,415,225,70,520,0,325,445,1630,0
0376.12,5460,0,440,1195,155,145,200,0,875,945,2220,0
0376.13,3975,0,140,315,85,0,110,0,35,465,3030,0
0376.14,3790,0,120,395,30,0,25,0,110,320,2960,0
0376.15,3945,0,165,500,30,20,60,0,290,400,2685,0
0376.16,3380,0,300,830,140,0,60,0,75,1065,1265,0
0377.01,6630,0,390,1535,140,65,145,0,20,725,4125,0
0377.02,4760,0,335,1125,175,175,30,0,50,315,3005,0
0377.03,2780,0,225,685,125,0,30,0,40,140,1800,0
0377.04,6105,0,260,440,305,110,20,0,95,900,4330,0
0377.06,3820,0,35,155,80,0,0,55,25,170,3465,0
0377.07,4860,0,160,475,85,30,35,0,0,575,3905,35
0378.02,3335,0,190,610,160,70,65,0,160,935,1450,0
0378.03,7585,65,740,1595,1165,300,315,0,120,2415,2295,0
0378.04,6110,0,260,1270,600,80,330,0,185,2890,1510,40
0378.05,4155,0,505,860,800,275,495,0,60,1250,890,0
0378.06,6250,30,615,900,1005,125,400,0,90,3190,1000,0
0378.07,7080,0,405,1150,620,105,185,0,130,1690,3555,0
0378.08,6560,0,435,785,165,0,110,0,230,1800,3675,0
0378.11,5875,45,435,945,975,255,320,0,50,2575,1045,0
0378.12,5130,120,535,1145,1260,275,505,0,170,1630,995,0
0378.14,4075,0,220,570,185,0,55,0,165,1060,2215,0
0378.16,6430,0,360,515,1010,315,355,0,135,3535,1030,40
0378.17,3460,30,465,570,560,195,495,0,75,1260,595,0
0378.18,2880,0,115,220,265,90,95,0,55,645,1805,0
0378.19,5210,0,280,470,120,0,55,0,80,1025,3560,0
0378.20,2265,0,40,85,0,0,0,0,25,475,1710,0
0378.21,3625,0,170,390,75,20,55,0,110,505,2595,0
0378.22,3640,0,210,260,110,20,55,0,0,475,2705,15
